bloc,provider,key,base_name,first_day,last_day,removed,span_days,first_input,first_output,last_input,last_output,n_price_changes,change_days,aa_intelligence_index,aa_index_version,aa_page_url,lookup_date
US,openai,o1-mini,o1-mini,2024-09-12,2026-03-11,1,545,3.0,12.0,1.1,4.4,1,2025-01-31,,,,
US,openai,o1-preview,o1-preview,2024-09-12,2026-03-11,1,545,15.0,60.0,15.0,60.0,0,,,,,
US,openai,o1,o1,2024-12-17,2026-09-13,0,635,15.0,60.0,15.0,60.0,0,,,,,
US,openai,o3-mini,o3-mini,2025-01-31,2026-09-13,0,590,1.1,4.4,1.1,4.4,0,,,,,
US,openai,gpt-4.5-preview,gpt-4.5-preview,2025-02-27,2026-03-11,1,377,75.0,150.0,75.0,150.0,0,,,,,
US,openai,o1-pro,o1-pro,2025-03-20,2026-09-13,0,542,150.0,600.0,150.0,600.0,0,,,,,
US,openai,gpt-4.1,gpt-4.1,2025-04-14,2026-09-13,0,517,2.0,8.0,2.0,8.0,0,,,,,
US,openai,gpt-4.1-mini,gpt-4.1-mini,2025-04-14,2026-09-13,0,517,0.4,1.6,0.4,1.6,0,,,,,
US,openai,gpt-4.1-nano,gpt-4.1-nano,2025-04-14,2026-09-13,0,517,0.1,0.4,0.1,0.4,0,,,,,
US,openai,o3,o3,2025-04-16,2026-09-13,0,515,10.0,40.0,2.0,8.0,1,2025-06-10,,,,
US,openai,o4-mini,o4-mini,2025-04-16,2026-09-13,0,515,1.1,4.4,1.1,4.4,0,,,,,
US,openai,codex-mini-latest,codex-mini-latest,2025-06-06,2026-09-13,0,464,1.5,6.0,1.5,6.0,0,,,,,
US,openai,o3-pro,o3-pro,2025-06-10,2026-09-13,0,460,20.0,80.0,20.0,80.0,0,,,,,
US,openai,gpt-5,gpt-5,2025-08-07,2026-09-13,0,402,1.25,10.0,1.25,10.0,0,,,,,
US,openai,gpt-5-chat,gpt-5-chat,2025-08-07,2026-09-13,0,402,5.0,20.0,1.25,10.0,1,2025-08-08,,,,
US,openai,gpt-5-mini,gpt-5-mini,2025-08-07,2026-09-13,0,402,0.25,2.0,0.25,2.0,0,,,,,
US,openai,gpt-5-nano,gpt-5-nano,2025-08-07,2026-09-13,0,402,0.05,0.4,0.05,0.4,0,,,,,
US,perplexity,perplexity/sonar,sonar,2025-02-12,2026-09-13,0,578,1.0,1.0,1.0,1.0,0,,,,,
US,perplexity,perplexity/sonar-pro,sonar-pro,2025-02-12,2026-09-13,0,578,3.0,15.0,3.0,15.0,0,,,,,
US,perplexity,perplexity/sonar-reasoning,sonar-reasoning,2025-05-08,2026-09-13,0,493,1.0,5.0,1.0,5.0,0,,,,,
US,perplexity,perplexity/sonar-reasoning-pro,sonar-reasoning-pro,2025-05-08,2026-09-13,0,493,2.0,8.0,2.0,8.0,0,,,,,
US,xai,xai/grok-beta,grok-beta,2024-11-01,2026-08-27,1,664,5.0,15.0,5.0,15.0,0,,,,,
US,xai,xai/grok-2,grok-2,2025-01-30,2026-08-27,1,574,2.0,10.0,2.0,10.0,0,,,,,
US,xai,xai/grok-3,grok-3,2025-05-21,2026-09-13,0,480,3.0,15.0,1.25,2.5,1,2026-08-29,,,,
US,xai,xai/grok-3-mini,grok-3-mini,2025-06-14,2026-09-13,0,456,0.3,0.5,1.25,2.5,1,2026-08-29,,,,
US,xai,xai/grok-4,grok-4,2025-07-10,2026-09-13,0,430,3.0,15.0,1.25,2.5,1,2026-08-29,,,,
US,xai,xai/grok-code-fast-1,grok-code-fast-1,2025-08-29,2026-09-13,0,380,0.2,1.5,1.0,2.0,1,2026-08-10,,,,
